Protein IDs	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity 736_m_wt	LFQ intensity 736_sc_wt	LFQ intensity 737_m_midy	LFQ intensity 737_sc_midy	LFQ intensity 738_m_wt	LFQ intensity 738_sc_wt	LFQ intensity 739_m_midy	LFQ intensity 739_sc_midy	LFQ intensity 740_m_midy	LFQ intensity 740_sc_midy	LFQ intensity 741_m_wt	LFQ intensity 741_sc_wt	LFQ intensity 743_m_wt	LFQ intensity 743_sc_midy	LFQ intensity 744_m_midy	LFQ intensity 744_sc_midy	LFQ intensity 745_m_wt	LFQ intensity 745_sc_wt	Only identified by site	Reverse	Potential contaminant	gene_name	alt_gene_names	bp_annotation	bp_annotation_id	cc_annotation	cc_annotation_id	kegg_annotation	kegg_annotation_id	mf_annotation	mf_annotation_id
NP_001014971.1	NP_001014971.1	NP_001014971.1 collagen alpha-1(V) chain precursor [Sus scrofa]	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9156200	NA	NA	NA	COL5A1	COL5A1;NA;NA;NA;NA	extracellular matrix organization;cell migration;integrin biosynthetic process;skin development;tendon development;blood vessel development;regulation of cellular component organization;cell adhesion;collagen biosynthetic process;wound healing, spreading of epidermal cells;negative regulation of endodermal cell differentiation;collagen fibril organization;eye morphogenesis;heart morphogenesis;supramolecular fiber organization	GO:003019; GO:001647; GO:004511; GO:004358; GO:003598; GO:000156; GO:005112; GO:000715; GO:003296; GO:003531; GO:190322; GO:003019; GO:004859; GO:000300; GO:009743	extracellular space;collagen type V trimer;extracellular matrix;extracellular region;basement membrane;endoplasmic reticulum lumen	GO:000561; GO:000558; GO:003101; GO:000557; GO:000560; GO:000578	 Protein digestion and absorption; Platelet activation; Amoebiasis; ECM-receptor interaction; PI3K-Akt signaling pathway	hsa0497; hsa0461; hsa0514; hsa0451; hsa0415	extracellular matrix structural constituent conferring tensile strength;integrin binding;extracellular matrix structural constituent;platelet-derived growth factor binding;metal ion binding;protein binding;proteoglycan binding;heparin binding	GO:003002; GO:000517; GO:000520; GO:004840; GO:004687; GO:000551; GO:004339; GO:000820
XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956154.1 guanylate cyclase soluble subunit beta-1 isoform X2 [Sus scrofa];XP_020956153.1 guanylate cyclase soluble subunit beta-1 isoform X2 [Sus scrofa];XP_020956152.1 guanylate cyclase soluble subunit beta-1 isoform X1 [Sus scrofa];XP_020956151.1 g	4	4	4	10148000	9157100	10908000	0	0	10852000	0	12161000	0	9570300	0	0	12755000	10110000	0	8431200	0	8499900	NA	NA	NA	GUCY1B1	GUCY1B1;GUCY1B1;GUCY1B1;GUCY1B1;GUCY1B1	cGMP biosynthetic process;blood circulation;cellular response to nitric oxide;nitric oxide mediated signal transduction;cGMP-mediated signaling;trans-synaptic signaling by nitric oxide, modulating synaptic transmission;nitric oxide-cGMP-mediated signaling pathway	GO:000618; GO:000801; GO:007173; GO:000726; GO:001993; GO:009955; GO:003806	guanylate cyclase complex, soluble;presynaptic active zone	GO:000807; GO:004878	 Gap junction; Purine metabolism; Vascular smooth muscle contraction; Circadian entrainment; Long-term depression; Salivary secretion; Oxytocin signaling pathway; Platelet activation; cGMP-PKG signaling pathway	hsa0454; hsa0023; hsa0427; hsa0471; hsa0473; hsa0497; hsa0492; hsa0461; hsa0402	heme binding;protein binding;guanylate cyclase activity;signaling receptor activity;metal ion binding;GTP binding	GO:002003; GO:000551; GO:000438; GO:003802; GO:004687; GO:000552
XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956170.1 guanylate cyclase soluble subunit alpha-3 isoform X1 [Sus scrofa];XP_020956169.1 guanylate cyclase soluble subunit alpha-3 isoform X1 [Sus scrofa];XP_020956168.1 guanylate cyclase soluble subunit alpha-3 isoform X1 [Sus scrofa];XP_020956167.	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	GUCY1A1	GUCY1A1;GUCY1A1;GUCY1A1;GUCY1A1;GUCY1A1	nitric oxide mediated signal transduction;regulation of blood pressure;response to defense-related host nitric oxide production;blood circulation;cGMP biosynthetic process;positive regulation of nitric oxide mediated signal transduction;relaxation of vascular smooth muscle;retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission	GO:000726; GO:000821; GO:005256; GO:000801; GO:000618; GO:001075; GO:006008; GO:009892	GABA-ergic synapse;glutamatergic synapse;guanylate cyclase complex, soluble	GO:009898; GO:009897; GO:000807	 Renin secretion; Platelet activation; Long-term depression; Vascular smooth muscle contraction; Oxytocin signaling pathway; Purine metabolism; cGMP-PKG signaling pathway; Circadian entrainment; Gap junction; Salivary secretion	hsa0492; hsa0461; hsa0473; hsa0427; hsa0492; hsa0023; hsa0402; hsa0471; hsa0454; hsa0497	GTP binding;protein binding;heme binding;signaling receptor activity;guanylate cyclase activity	GO:000552; GO:000551; GO:002003; GO:003802; GO:000438
XP_005656356.1;NP_001020386.1	XP_005656356.1;NP_001020386.1	XP_005656356.1 cofilin-2 isoform X1 [Sus scrofa];NP_001020386.1 cofilin-2 [Sus scrofa]	7	6	6	122450000	185000000	172770000	144200000	91871000	101290000	129120000	145220000	143290000	198400000	140560000	179340000	162500000	121600000	121180000	145540000	148210000	135990000	NA	NA	NA	CFL2	CFL2;CFL2;NA;NA;NA	sarcomere organization;positive regulation of actin filament depolymerization;muscle cell cellular homeostasis;skeletal muscle tissue development;actin filament depolymerization	GO:004521; GO:003083; GO:004671; GO:000751; GO:003004	Z disc;extracellular exosome;extracellular space;I band;nuclear matrix;actin cytoskeleton	GO:003001; GO:007006; GO:000561; GO:003167; GO:001636; GO:001562	 Axon guidance; Pertussis; Fc gamma R-mediated phagocytosis; Regulation of actin cytoskeleton	hsa0436; hsa0513; hsa0466; hsa0481	actin filament binding;protein binding	GO:005101; GO:000551
NP_001020387.1;XP_020954089.1	NP_001020387.1	NP_001020387.1 histone H1.2-like protein [Sus scrofa]	13	13	3	1257900000	2552600000	1806400000	1717800000	1412000000	2628600000	2064800000	1725900000	1873400000	2182100000	2056000000	2221400000	2670800000	2298900000	1652700000	2163300000	2128200000	2333600000	NA	NA	NA	LOC574051	LOC574051;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
XP_020927838.1;NP_001020393.1;XP_020927839.1	XP_020927838.1;NP_001020393.1;XP_020927839.1	XP_020927838.1 myozenin-1 isoform X1 [Sus scrofa];NP_001020393.1 myozenin-1 [Sus scrofa];XP_020927839.1 myozenin-1 isoform X2 [Sus scrofa]	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32643000	0	NA	NA	NA	MYOZ1	MYOZ1;MYOZ1;MYOZ1;NA;NA	skeletal muscle fiber adaptation;negative regulation of calcineurin-NFAT signaling cascade;negative regulation of phosphoprotein phosphatase activity;skeletal muscle tissue development;negative regulation of skeletal muscle tissue regeneration;sarcomere organization;myofibril assembly;negative regulation of transcription from RNA polymerase II promoter	GO:004350; GO:007088; GO:003251; GO:000751; GO:004341; GO:004521; GO:003023; GO:000012	pseudopodium;actin cytoskeleton;Z disc;nucleus	GO:003114; GO:001562; GO:003001; GO:000563	"NA"	"NA"	FATZ binding;protein binding;protein serine/threonine phosphatase inhibitor activity;actin binding;telethonin binding	GO:005137; GO:000551; GO:000486; GO:000377; GO:003143
XP_020946862.1;XP_005664187.1;NP_001025706.1;XP_005664186.1	XP_020946862.1;XP_005664187.1;NP_001025706.1;XP_005664186.1	XP_020946862.1 BH3-interacting domain death agonist isoform X1 [Sus scrofa];XP_005664187.1 BH3-interacting domain death agonist isoform X1 [Sus scrofa];NP_001025706.1 BH3-interacting domain death agonist [Sus scrofa];XP_005664186.1 BH3-interacting domain d	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16587000	0	NA	NA	NA	BID	BID;BID;BID;BID;NA	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage;apoptotic mitochondrial changes;protein homooligomerization;hepatocyte apoptotic process;mitochondrial ATP synthesis coupled electron transport;positive regulation of apoptotic process;neuron apoptotic process;regulation of G1/S transition of mitotic cell cycle;regulation of cell proliferation;establishment of protein localization to membrane;positive regulation of release of cytochrome c from mitochondria;positive regulation of fibroblast apoptotic process;positive regulation of intrinsic apoptotic signaling pathway;protein targeting to mitochondrion;extrinsic apoptotic signaling pathway via death domain receptors;mitochondrial outer membrane permeabilization;positive regulation of extrinsic apoptotic signaling pathway;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of mitochondrial membrane potential;positive regulation of protein homooligomerization;regulation of apoptotic process;positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway;release of cytochrome c from mitochondria;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:190223; GO:000863; GO:005126; GO:009728; GO:004277; GO:004306; GO:005140; GO:200004; GO:004212; GO:009015; GO:009020; GO:200027; GO:200124; GO:000662; GO:000862; GO:009734; GO:200123; GO:000691; GO:001091; GO:003246; GO:004298; GO:190103; GO:000183; GO:190074	mitochondrion;mitochondrial outer membrane;cytosol;membrane;integral component of mitochondrial membrane	GO:000573; GO:000574; GO:000582; GO:001602; GO:003259	 Pathways in cancer; Alzheimer's disease; p53 signaling pathway; Viral myocarditis; Sphingolipid signaling pathway; Apoptosis; Natural killer cell mediated cytotoxicity; Non-alcoholic fatty liver disease (NAFLD); Tuberculosis	hsa0520; hsa0501; hsa0411; hsa0541; hsa0407; hsa0421; hsa0465; hsa0493; hsa0515	protein binding;death receptor binding;ubiquitin protein ligase binding;protein heterodimerization activity	GO:000551; GO:000512; GO:003162; GO:004698
XP_020946863.1;NP_001026954.1	XP_020946863.1;NP_001026954.1	XP_020946863.1 ADP-ribosylation factor-like protein 1 isoform X1 [Sus scrofa];NP_001026954.1 ADP-ribosylation factor-like protein 1 [Sus scrofa]	4	4	4	0	11738000	16550000	18981000	0	12612000	13114000	15753000	15075000	16809000	11458000	0	0	14231000	11308000	16310000	14055000	18196000	NA	NA	NA	ARL1	ARL1;ARL1;NA;NA;NA	activation of phospholipase D activity;intracellular protein transport;Golgi organization;vesicle-mediated transport;retrograde transport, endosome to Golgi;Golgi vesicle transport;toxin metabolic process;protein localization to Golgi apparatus	GO:003158; GO:000688; GO:000703; GO:001619; GO:004214; GO:004819; GO:000940; GO:003406	cytosol;cytoplasm;trans-Golgi network;trans-Golgi network membrane;Golgi apparatus	GO:000582; GO:000573; GO:000580; GO:003258; GO:000579	"NA"	"NA"	GTPase activity;GTP binding;protein domain specific binding;metal ion binding;enzyme activator activity	GO:000392; GO:000552; GO:001990; GO:004687; GO:000804
NP_001026955.1	NP_001026955.1	NP_001026955.1 ADP-ribosylation factor-like protein 3 [Sus scrofa]	2	2	2	9972200	0	10366000	9070100	0	9115000	8970600	0	8300100	0	0	0	14006000	0	9782300	7472800	0	10827000	NA	NA	NA	ARL3	ARL3;NA;NA;NA;NA	photoreceptor cell development;post-Golgi vesicle-mediated transport;smoothened signaling pathway;cilium assembly;protein localization to ciliary membrane;small GTPase mediated signal transduction;mitotic cytokinesis;intraciliary transport;kidney development;protein localization to cilium	GO:004246; GO:000689; GO:000722; GO:006027; GO:190344; GO:000726; GO:000028; GO:004207; GO:000182; GO:006151	Golgi apparatus;extracellular exosome;photoreceptor connecting cilium;microtubule cytoskeleton;Golgi membrane;centrosome;cilium;nucleus;cytoplasmic microtubule;spindle microtubule;midbody	GO:000579; GO:007006; GO:003239; GO:001563; GO:000013; GO:000581; GO:000592; GO:000563; GO:000588; GO:000587; GO:003049	"NA"	"NA"	magnesium ion binding;GTP binding;GTPase activity;protein binding;microtubule binding;GDP binding;GTPase activating protein binding	GO:000028; GO:000552; GO:000392; GO:000551; GO:000801; GO:001900; GO:003279
XP_005657451.1;XP_005657450.1;NP_001026956.1	XP_005657451.1;XP_005657450.1;NP_001026956.1	XP_005657451.1 GTP-binding protein SAR1a isoform X1 [Sus scrofa];XP_005657450.1 GTP-binding protein SAR1a isoform X1 [Sus scrofa];NP_001026956.1 GTP-binding protein SAR1a [Sus scrofa]	9	9	6	135410000	190950000	176290000	135270000	133930000	126520000	150870000	222390000	108840000	208540000	172470000	194300000	110090000	152010000	134340000	173250000	124840000	167670000	NA	NA	NA	SAR1A	SAR1A;SAR1A;SAR1A;NA;NA	vesicle organization;intracellular protein transport;regulation of COPII vesicle coating;membrane organization;cargo loading into COPII-coated vesicle;positive regulation of protein exit from endoplasmic reticulum	GO:001605; GO:000688; GO:000340; GO:006102; GO:009011; GO:007086	endoplasmic reticulum;Golgi membrane;COPII vesicle coat;endoplasmic reticulum exit site	GO:000578; GO:000013; GO:003012; GO:007097	 Legionellosis; Protein processing in endoplasmic reticulum	hsa0513; hsa0414	GTPase activity;protein binding;GTP binding	GO:000392; GO:000551; GO:000552
NP_001026957.1	NP_001026957.1	NP_001026957.1 ras-related protein Rab-1A [Sus scrofa]	9	3	3	0	0	0	0	0	0	0	0	0	0	0	13643000	0	0	0	0	0	0	NA	NA	NA	RAB1A	RAB1A;NA;NA;NA;NA	autophagosome assembly;cell migration;establishment of endothelial intestinal barrier;endocytosis;COPII vesicle coating;cilium assembly;ER to Golgi vesicle-mediated transport;interleukin-8 secretion;cargo loading into COPII-coated vesicle;defense response to bacterium;positive regulation of glycoprotein metabolic process;virion assembly;vesicle transport along microtubule;substrate adhesion-dependent cell spreading;post-translational protein modification;Rab protein signal transduction;positive regulation of ubiquitin protein ligase activity;autophagy;Golgi organization;vesicle-mediated transport;growth hormone secretion;melanosome transport	GO:000004; GO:001647; GO:009055; GO:000689; GO:004820; GO:006027; GO:000688; GO:007260; GO:009011; GO:004274; GO:190302; GO:001906; GO:004749; GO:003444; GO:004368; GO:003248; GO:190466; GO:000691; GO:000703; GO:001619; GO:003025; GO:003240	Golgi membrane;endoplasmic reticulum membrane;transport vesicle membrane;early endosome;melanosome;cytosol;extracellular exosome;Golgi apparatus	GO:000013; GO:000578; GO:003065; GO:000576; GO:004247; GO:000582; GO:007006; GO:000579	 Legionellosis	hsa0513	GTPase activity;cadherin binding;protein binding;GTP binding	GO:000392; GO:004529; GO:000551; GO:000552
NP_001026959.1;XP_005669939.1	NP_001026959.1	NP_001026959.1 retinol-binding protein 1 [Sus scrofa]	3	3	3	52270000	0	53800000	0	0	0	72502000	0	0	0	0	0	0	0	57819000	34422000	0	0	NA	NA	NA	RBP1	RBP1;NA;NA;NA;NA	vitamin A metabolic process;lipid homeostasis;retinoic acid biosynthetic process;retinoid metabolic process	GO:000677; GO:005508; GO:000213; GO:000152	nucleoplasm;cytosol;lipid particle	GO:000565; GO:000582; GO:000581	"NA"	"NA"	retinal binding;retinoid binding;all-trans-retinol binding	GO:001691; GO:000550; GO:190476
NP_001026962.1	NP_001026962.1	NP_001026962.1 histone H1.3-like protein [Sus scrofa]	8	2	2	72497000	89764000	141680000	76381000	76486000	104300000	136730000	81458000	96942000	100500000	136130000	0	197020000	108790000	118420000	83986000	140430000	108670000	NA	NA	NA	LOC595122	LOC595122;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
XP_020957916.1;NP_001026963.1	XP_020957916.1;NP_001026963.1	XP_020957916.1 nicotinamide phosphoribosyltransferase isoform X1 [Sus scrofa];NP_001026963.1 nicotinamide phosphoribosyltransferase [Sus scrofa]	6	6	6	25303000	12476000	21572000	0	36972000	0	14736000	0	16996000	0	13158000	0	0	0	0	0	17552000	0	NA	NA	NA	NAMPT	NAMPT;NAMPT;NA;NA;NA	NAD biosynthesis via nicotinamide riboside salvage pathway;cellular response to ionizing radiation;response to D-galactose;negative regulation of cellular senescence;negative regulation of autophagy;female pregnancy;circadian regulation of gene expression;cell-cell signaling;circadian rhythm;response to organic cyclic compound;regulation of receptor activity;regulation of lung blood pressure;cellular response to beta-amyloid;signal transduction;positive regulation of cell proliferation;positive regulation of transcription from RNA polymerase II promoter;positive regulation of nitric-oxide synthase biosynthetic process;adipose tissue development;neuron death;cellular response to oxygen-glucose deprivation;microglial cell activation;positive regulation of smooth muscle cell proliferation	GO:003435; GO:007147; GO:190537; GO:200077; GO:001050; GO:000756; GO:003292; GO:000726; GO:000762; GO:001407; GO:001046; GO:001491; GO:190464; GO:000716; GO:000828; GO:004594; GO:005177; GO:006061; GO:007099; GO:009065; GO:000177; GO:004866	cell junction;extracellular exosome;plasma membrane;nuclear speck;cytosol	GO:003005; GO:007006; GO:000588; GO:001660; GO:000582	 Metabolic pathways; Nicotinate and nicotinamide metabolism	hsa0110; hsa0076	identical protein binding;nicotinamide phosphoribosyltransferase activity;cytokine activity;protein homodimerization activity;nicotinate-nucleotide diphosphorylase (carboxylating) activity;protein binding;drug binding	GO:004280; GO:004728; GO:000512; GO:004280; GO:000451; GO:000551; GO:000814
NP_001026964.1	NP_001026964.1	NP_001026964.1 SPARC precursor [Sus scrofa]	10	10	10	102010000	197790000	100280000	221290000	0	126570000	106440000	168530000	96945000	148330000	132770000	178190000	75676000	158240000	115430000	144030000	79883000	222400000	NA	NA	NA	SPARC	SPARC;NA;NA;NA;NA	negative regulation of endothelial cell proliferation;receptor-mediated endocytosis;response to L-ascorbic acid;response to ethanol;bone development;heart development;negative regulation of angiogenesis;response to calcium ion;platelet degranulation;response to lead ion;response to cytokine;pigmentation;response to cadmium ion;response to gravity;wound healing;inner ear development;ossification;response to lipopolysaccharide;cellular response to growth factor stimulus;extracellular matrix organization;lung development;response to glucocorticoid;positive regulation of endothelial cell migration;regulation of cell morphogenesis;response to peptide hormone;regulation of synapse organization	GO:000193; GO:000689; GO:003359; GO:004547; GO:006034; GO:000750; GO:001652; GO:005159; GO:000257; GO:001028; GO:003409; GO:004347; GO:004668; GO:000962; GO:004206; GO:004883; GO:000150; GO:003249; GO:007136; GO:003019; GO:003032; GO:005138; GO:001059; GO:002260; GO:004343; GO:005080	extracellular space;platelet alpha granule membrane;endocytic vesicle lumen;nuclear matrix;plasma membrane;cytoplasm;extracellular region;glutamatergic synapse;basement membrane;cell surface	GO:000561; GO:003109; GO:007168; GO:001636; GO:000588; GO:000573; GO:000557; GO:009897; GO:000560; GO:000998	"NA"	"NA"	collagen binding;calcium ion binding;extracellular matrix binding;extracellular matrix structural constituent;protein binding	GO:000551; GO:000550; GO:005084; GO:000520; GO:000551
NP_001026966.1;XP_020927841.1	NP_001026966.1;XP_020927841.1	NP_001026966.1 2-5-oligoadenylate synthase 2 [Sus scrofa];XP_020927841.1 2-5-oligoadenylate synthase 2 isoform X1 [Sus scrofa]	5	5	5	0	0	0	0	0	9756400	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	OAS2	OAS2;OAS2;NA;NA;NA	defense response to virus;regulation of ribonuclease activity;interferon-gamma-mediated signaling pathway;RNA catabolic process;nucleobase-containing compound metabolic process;regulation of lactation;response to bacterium	GO:005160; GO:006070; GO:006033; GO:000640; GO:000613; GO:190348; GO:000961	membrane;nucleoplasm;perinuclear region of cytoplasm;nucleus;cytosol;intracellular membrane-bounded organelle	GO:001602; GO:000565; GO:004847; GO:000563; GO:000582; GO:004323	 Influenza A; Herpes simplex infection	hsa0516; hsa0516	double-stranded RNA binding;ATP binding;2'-5'-oligoadenylate synthetase activity;metal ion binding;protein binding	GO:000372; GO:000552; GO:000173; GO:004687; GO:000551
NP_001026967.1	NP_001026967.1	NP_001026967.1 FAS-associated death domain protein [Sus scrofa]	3	3	3	0	0	5014900	0	5760000	7426800	6482700	0	0	7634300	0	0	0	0	0	6207700	0	0	NA	NA	NA	FADD	FADD;NA;NA;NA;NA	activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of macrophage differentiation;spleen development;positive regulation of adaptive immune response;viral process;positive regulation of tumor necrosis factor production;cellular response to mechanical stimulus;toll-like receptor 3 signaling pathway;behavioral response to cocaine;necroptotic signaling pathway;positive regulation of extrinsic apoptotic signaling pathway;positive regulation of T cell mediated cytotoxicity;positive regulation of I-kappaB kinase/NF-kappaB signaling;defense response to virus;negative regulation of necroptotic process;TRIF-dependent toll-like receptor signaling pathway;negative regulation of activation-induced cell death of T cells;motor neuron apoptotic process;extrinsic apoptotic signaling pathway;positive regulation of extrinsic apoptotic signaling pathway via death domain receptors;apoptotic process;TRAIL-activated apoptotic signaling pathway;T cell homeostasis;positive regulation of apoptotic process;response to morphine;innate immune response;positive regulation of proteolysis;activation of cysteine-type endopeptidase activity;kidney development;cell surface receptor signaling pathway;extrinsic apoptotic signaling pathway via death domain receptors;positive regulation of interleukin-8 production;positive regulation of activated T cell proliferation;positive regulation of type I interferon-mediated signaling pathway;positive regulation of interferon-gamma production;T cell differentiation in thymus;positive regulation of transcription from RNA polymerase II promoter;death-inducing signaling complex assembly;positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation	GO:000691; GO:004565; GO:004853; GO:000282; GO:001603; GO:003276; GO:007126; GO:003413; GO:004814; GO:009752; GO:200123; GO:000191; GO:004312; GO:005160; GO:006054; GO:003566; GO:007023; GO:009704; GO:009719; GO:190204; GO:000691; GO:003646; GO:004302; GO:004306; GO:004327; GO:004508; GO:004586; GO:009720; GO:000182; GO:000716; GO:000862; GO:003275; GO:004210; GO:006034; GO:003272; GO:003307; GO:004594; GO:007155; GO:200045	neuron projection;nucleus;cytosol;CD95 death-inducing signaling complex;ripoptosome;plasma membrane;membrane raft;cell body;cytoplasm	GO:004300; GO:000563; GO:000582; GO:003126; GO:009734; GO:000588; GO:004512; GO:004429; GO:000573	 Alzheimer's disease; Herpes simplex infection; Chagas disease (American trypanosomiasis); Pathways in cancer; Apoptosis; TNF signaling pathway; Tuberculosis; Toll-like receptor signaling pathway	hsa0501; hsa0516; hsa0514; hsa0520; hsa0421; hsa0466; hsa0515; hsa0462	tumor necrosis factor receptor binding;tumor necrosis factor receptor superfamily binding;death effector domain binding;death receptor binding;protease binding;protein binding;identical protein binding;macromolecular complex binding;receptor serine/threonine kinase binding;caspase binding	GO:000516; GO:003281; GO:003587; GO:000512; GO:000202; GO:000551; GO:004280; GO:004487; GO:003361; GO:008972
NP_001027548.1;XP_020935163.1;XP_020935162.1	NP_001027548.1;XP_020935163.1;XP_020935162.1	NP_001027548.1 hypoxanthine-guanine phosphoribosyltransferase [Sus scrofa];XP_020935163.1 hypoxanthine-guanine phosphoribosyltransferase isoform X2 [Sus scrofa];XP_020935162.1 hypoxanthine-guanine phosphoribosyltransferase isoform X1 [Sus scrofa]	8	8	7	85299000	65507000	78427000	66072000	72624000	72987000	73848000	68018000	75224000	60758000	73184000	60376000	83341000	65680000	82228000	65720000	67758000	68443000	NA	NA	NA	HPRT1	HPRT1;HPRT1;HPRT1;NA;NA	locomotory behavior;GMP salvage;purine ribonucleoside salvage;hypoxanthine salvage;hypoxanthine metabolic process;guanine salvage;positive regulation of dopamine metabolic process;IMP metabolic process;grooming behavior;dopamine metabolic process;protein homotetramerization;central nervous system neuron development;lymphocyte proliferation;striatum development;cerebral cortex neuron differentiation;GMP catabolic process;T cell mediated cytotoxicity;response to amphetamine;dendrite morphogenesis	GO:000762; GO:003226; GO:000616; GO:004310; GO:004610; GO:000617; GO:004596; GO:004604; GO:000762; GO:004241; GO:005128; GO:002195; GO:004665; GO:002175; GO:002189; GO:004603; GO:000191; GO:000197; GO:004881	extracellular exosome;cytosol;cytoplasm	GO:007006; GO:000582; GO:000573	 Metabolic pathways; Purine metabolism; Drug metabolism - other enzymes	hsa0110; hsa0023; hsa0098	nucleotide binding;magnesium ion binding;hypoxanthine phosphoribosyltransferase activity;protein binding;protein homodimerization activity;guanine phosphoribosyltransferase activity	GO:000016; GO:000028; GO:000442; GO:000551; GO:004280; GO:005265
NP_001028180.1	NP_001028180.1	NP_001028180.1 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha [Sus scrofa]	6	6	6	255650000	110060000	274300000	178560000	320820000	106710000	281930000	211670000	252590000	187790000	196350000	184610000	76794000	119670000	249040000	229900000	216980000	127920000	NA	NA	NA	AGPAT1	AGPAT1;NA;NA;NA;NA	phosphatidic acid biosynthetic process;CDP-diacylglycerol biosynthetic process;positive regulation of cytokine-mediated signaling pathway;positive regulation of cytokine production;phospholipid metabolic process;positive regulation of cellular metabolic process	GO:000665; GO:001602; GO:000196; GO:000181; GO:000664; GO:003132	integral component of membrane;endoplasmic reticulum;membrane	GO:001602; GO:000578; GO:001602	 Glycerophospholipid metabolism; Metabolic pathways; Glycerolipid metabolism; Fat digestion and absorption	hsa0056; hsa0110; hsa0056; hsa0497	protein binding;1-acylglycerol-3-phosphate O-acyltransferase activity	GO:000551; GO:000384
NP_001028186.1;XP_005653783.1	NP_001028186.1;XP_005653783.1	NP_001028186.1 myosin-binding protein H [Sus scrofa];XP_005653783.1 myosin-binding protein H isoform X1 [Sus scrofa]	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21118000	0	NA	NA	NA	MYBPH	MYBPH;MYBPH;NA;NA;NA	cell adhesion;regulation of striated muscle contraction	GO:000715; GO:000694	myosin filament	GO:003298	"NA"	"NA"	protein binding;structural constituent of muscle	GO:000551; GO:000830
NP_001032223.1;XP_020933343.1	NP_001032223.1	NP_001032223.1 40S ribosomal protein SA [Sus scrofa]	12	12	12	300970000	286160000	303720000	298250000	340990000	337180000	323990000	322330000	313290000	290420000	385140000	286450000	407720000	338190000	345280000	302950000	341210000	333800000	NA	NA	NA	RPSA	RPSA;NA;NA;NA;NA	translation;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;cell adhesion;endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosomal small subunit assembly;rRNA export from nucleus;translational initiation;viral entry into host cell;SRP-dependent cotranslational protein targeting to membrane	GO:000641; GO:000018; GO:000715; GO:000044; GO:000046; GO:000002; GO:000640; GO:000641; GO:004671; GO:000661	nucleus;cytosolic small ribosomal subunit;membrane;extracellular exosome;cytosol;cytoplasm;plasma membrane;nucleoplasm	GO:000563; GO:002262; GO:001602; GO:007006; GO:000582; GO:000573; GO:000588; GO:000565	 Ribosome	hsa0301	laminin receptor activity;laminin binding;virus receptor activity;protein binding;structural constituent of ribosome;RNA binding;ribosome binding	GO:000505; GO:004323; GO:000161; GO:000551; GO:000373; GO:000372; GO:004302
