Majority protein IDs	gene_name	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	KEGG Pathway Info
NP_998992.1	CBR2	-	-	-	-
NP_998993.1	LOC396781	-	-	-	-
NP_999009.1	CRP	"GO:0045087 [Name: innate immune response]; GO:0010628 [Name: positive regulation of gene expression]; GO:0032930 [Name: positive regulation of superoxide anion generation]; GO:0097756 [Name: negative regulation of blood vessel diameter]; GO:2000482 [Name: regulation of interleukin-8 secretion]; GO:0010888 [Name: negative regulation of lipid storage]; GO:0050830 [Name: defense response to Gram-positive bacterium]; GO:0006958 [Name: complement activation, classical pathway]; GO:0006954 [Name: inflammatory response]; GO:0008228 [Name: opsonization]; GO:0010745 [Name: negative regulation of macrophage derived foam cell differentiation]; GO:0006953 [Name: acute-phase response]"	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	GO:0005515 [Name: protein binding]; GO:0030169 [Name: low-density lipoprotein particle binding]; GO:0001849 [Name: complement component C1q binding]; GO:0033265 [Name: choline binding]; GO:0046790 [Name: virion binding]; GO:0050750 [Name: low-density lipoprotein particle receptor binding]; GO:0005509 [Name: calcium ion binding]; GO:0042802 [Name: identical protein binding]	-
NP_999012.2	TF	GO:0031647 [Name: regulation of protein stability]; GO:0033572 [Name: transferrin transport]; GO:0034756 [Name: regulation of iron ion transport]; GO:0044267 [Name: cellular protein metabolic process]; GO:0002576 [Name: platelet degranulation]; GO:0006879 [Name: cellular iron ion homeostasis]; GO:0055072 [Name: iron ion homeostasis]; GO:0072512 [Name: trivalent inorganic cation transport]; GO:0001895 [Name: retina homeostasis]; GO:0034755 [Name: iron ion transmembrane transport]; GO:0043687 [Name: post-translational protein modification]; GO:0048260 [Name: positive regulation of receptor-mediated endocytosis]; GO:0061024 [Name: membrane organization]; GO:0071281 [Name: cellular response to iron ion]	GO:0005770 [Name: late endosome]; GO:0009986 [Name: cell surface]; GO:0030665 [Name: clathrin-coated vesicle membrane]; GO:0070062 [Name: extracellular exosome]; GO:1990712 [Name: HFE-transferrin receptor complex]; GO:0016324 [Name: apical plasma membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0072562 [Name: blood microparticle]; GO:0005615 [Name: extracellular space]; GO:0009925 [Name: basal plasma membrane]; GO:0055037 [Name: recycling endosome]; GO:0034774 [Name: secretory granule lumen]; GO:0005769 [Name: early endosome]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005788 [Name: endoplasmic reticulum lumen]; GO:0005905 [Name: clathrin-coated pit]; GO:0010008 [Name: endosome membrane]; GO:0031232 [Name: extrinsic component of external side of plasma membrane]; GO:0031982 [Name: vesicle]; GO:0045178 [Name: basal part of cell]; GO:0005576 [Name: extracellular region]; GO:0030139 [Name: endocytic vesicle]	GO:0008199 [Name: ferric iron binding]; GO:0015091 [Name: ferric iron transmembrane transporter activity]; GO:0008198 [Name: ferrous iron binding]; GO:0034986 [Name: iron chaperone activity]; GO:0005515 [Name: protein binding]; GO:1990459 [Name: transferrin receptor binding]	hsa04066 [Pathway Title: HIF-1 signaling pathway]; hsa04978 [Pathway Title: Mineral absorption]
NP_999020.2	MYH7	GO:0006936 [Name: muscle contraction]; GO:0031449 [Name: regulation of slow-twitch skeletal muscle fiber contraction]; GO:0030049 [Name: muscle filament sliding]; GO:0055010 [Name: ventricular cardiac muscle tissue morphogenesis]; GO:0003009 [Name: skeletal muscle contraction]; GO:0060048 [Name: cardiac muscle contraction]; GO:0007512 [Name: adult heart development]; GO:0014728 [Name: regulation of the force of skeletal muscle contraction]; GO:0046034 [Name: ATP metabolic process]; GO:0006941 [Name: striated muscle contraction]; GO:0014898 [Name: cardiac muscle hypertrophy in response to stress]; GO:0002027 [Name: regulation of heart rate]; GO:0002026 [Name: regulation of the force of heart contraction]; GO:0014883 [Name: transition between fast and slow fiber]	GO:0016459 [Name: myosin complex]; GO:0030018 [Name: Z disc]; GO:0005859 [Name: muscle myosin complex]; GO:0030016 [Name: myofibril]; GO:0001725 [Name: stress fiber]; GO:0030017 [Name: sarcomere]; GO:0032982 [Name: myosin filament]	GO:0005515 [Name: protein binding]; GO:0005524 [Name: ATP binding]; GO:0030898 [Name: actin-dependent ATPase activity]; GO:0051015 [Name: actin filament binding]; GO:0016887 [Name: ATPase activity]; GO:0005516 [Name: calmodulin binding]; GO:0000146 [Name: microfilament motor activity]	hsa04261 [Pathway Title: Adrenergic signaling in cardiomyocytes]; hsa04022 [Pathway Title: cGMP-PKG signaling pathway]; hsa04260 [Pathway Title: Cardiac muscle contraction]; hsa05410 [Pathway Title: Hypertrophic cardiomyopathy (HCM)]; hsa05416 [Pathway Title: Viral myocarditis]; hsa04530 [Pathway Title: Tight junction]; hsa05414 [Pathway Title: Dilated cardiomyopathy]
NP_999028.1;XP_020924182.1	NPG4	-	-	-	-
NP_999030.1;XP_020927734.1	ATP2A2	GO:0003009 [Name: skeletal muscle contraction]; GO:0006984 [Name: ER-nucleus signaling pathway]; GO:0006996 [Name: organelle organization]; GO:0008544 [Name: epidermis development]; GO:0014898 [Name: cardiac muscle hypertrophy in response to stress]; GO:0055119 [Name: relaxation of cardiac muscle]; GO:0002026 [Name: regulation of the force of heart contraction]; GO:0010460 [Name: positive regulation of heart rate]; GO:0034605 [Name: cellular response to heat]; GO:0070296 [Name: sarcoplasmic reticulum calcium ion transport]; GO:0007155 [Name: cell adhesion]; GO:0014883 [Name: transition between fast and slow fiber]; GO:0032469 [Name: endoplasmic reticulum calcium ion homeostasis]; GO:0034976 [Name: response to endoplasmic reticulum stress]; GO:0032470 [Name: positive regulation of endoplasmic reticulum calcium ion concentration]; GO:0070588 [Name: calcium ion transmembrane transport]; GO:1902600 [Name: hydrogen ion transmembrane transport]; GO:1903233 [Name: regulation of calcium ion-dependent exocytosis of neurotransmitter]; GO:1903515 [Name: calcium ion transport from cytosol to endoplasmic reticulum]; GO:1903779 [Name: regulation of cardiac conduction]; GO:0010882 [Name: regulation of cardiac muscle contraction by calcium ion signaling]; GO:0033292 [Name: T-tubule organization]; GO:0034220 [Name: ion transmembrane transport]; GO:0098909 [Name: regulation of cardiac muscle cell action potential involved in regulation of contraction]; GO:1990036 [Name: calcium ion import into sarcoplasmic reticulum]; GO:0006874 [Name: cellular calcium ion homeostasis]; GO:0032496 [Name: response to lipopolysaccharide]; GO:0034599 [Name: cellular response to oxidative stress]; GO:0045822 [Name: negative regulation of heart contraction]; GO:0086036 [Name: regulation of cardiac muscle cell membrane potential]; GO:0099132 [Name: ATP hydrolysis coupled cation transmembrane transport]	GO:0005783 [Name: endoplasmic reticulum]; GO:0016020 [Name: membrane]; GO:0012506 [Name: vesicle membrane]; GO:0031095 [Name: platelet dense tubular network membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0032991 [Name: macromolecular complex]; GO:0031234 [Name: extrinsic component of cytoplasmic side of plasma membrane]; GO:0016529 [Name: sarcoplasmic reticulum]; GO:0033017 [Name: sarcoplasmic reticulum membrane]; GO:0097470 [Name: ribbon synapse]; GO:0061831 [Name: apical ectoplasmic specialization]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005654 [Name: nucleoplasm]	"GO:0044548 [Name: S100 protein binding]; GO:0008553 [Name: hydrogen-exporting ATPase activity, phosphorylative mechanism]; GO:0086039 [Name: calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential]; GO:0005509 [Name: calcium ion binding]; GO:0005388 [Name: calcium-transporting ATPase activity]; GO:0019899 [Name: enzyme binding]; GO:0005524 [Name: ATP binding]; GO:0031775 [Name: lutropin-choriogonadotropic hormone receptor binding]; GO:0005515 [Name: protein binding]"	hsa04919 [Pathway Title: Thyroid hormone signaling pathway]; hsa05410 [Pathway Title: Hypertrophic cardiomyopathy (HCM)]; hsa05412 [Pathway Title: Arrhythmogenic right ventricular cardiomyopathy (ARVC)]; hsa04972 [Pathway Title: Pancreatic secretion]; hsa05010 [Pathway Title: Alzheimer's disease]; hsa04022 [Pathway Title: cGMP-PKG signaling pathway]; hsa05414 [Pathway Title: Dilated cardiomyopathy]; hsa04020 [Pathway Title: Calcium signaling pathway]; hsa04024 [Pathway Title: cAMP signaling pathway]; hsa04260 [Pathway Title: Cardiac muscle contraction]; hsa04261 [Pathway Title: Adrenergic signaling in cardiomyocytes]
NP_999033.1	FCN2	"GO:0006508 [Name: proteolysis]; GO:0008228 [Name: opsonization]; GO:0050830 [Name: defense response to Gram-positive bacterium]; GO:0043654 [Name: recognition of apoptotic cell]; GO:0006956 [Name: complement activation]; GO:0050829 [Name: defense response to Gram-negative bacterium]; GO:0001867 [Name: complement activation, lectin pathway]"	GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]; GO:0072562 [Name: blood microparticle]; GO:0005581 [Name: collagen trimer]	GO:0048306 [Name: calcium-dependent protein binding]; GO:0003823 [Name: antigen binding]; GO:0046872 [Name: metal ion binding]; GO:2001065 [Name: mannan binding]; GO:0005515 [Name: protein binding]; GO:0043394 [Name: proteoglycan binding]; GO:0004252 [Name: serine-type endopeptidase activity]	-
NP_999039.1	MDH1	GO:0006734 [Name: NADH metabolic process]; GO:0006099 [Name: tricarboxylic acid cycle]; GO:0006107 [Name: oxaloacetate metabolic process]; GO:0006108 [Name: malate metabolic process]; GO:0006094 [Name: gluconeogenesis]	GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]; GO:0005615 [Name: extracellular space]	GO:0051287 [Name: NAD binding]; GO:0004470 [Name: malic enzyme activity]; GO:0047860 [Name: diiodophenylpyruvate reductase activity]; GO:0005515 [Name: protein binding]; GO:0030060 [Name: L-malate dehydrogenase activity]	hsa00630 [Pathway Title: Glyoxylate and dicarboxylate metabolism]; hsa00270 [Pathway Title: Cysteine and methionine metabolism]; hsa00620 [Pathway Title: Pyruvate metabolism]; hsa04964 [Pathway Title: Proximal tubule bicarbonate reclamation]; hsa00020 [Pathway Title: Citrate cycle (TCA cycle)]; hsa01200 [Pathway Title: Carbon metabolism]; hsa01100 [Pathway Title: Metabolic pathways]; hsa01130 [Pathway Title: Biosynthesis of antibiotics]
NP_999043.1;XP_020936224.1;XP_013842817.1	CNN1	GO:0006940 [Name: regulation of smooth muscle contraction]; GO:0031032 [Name: actomyosin structure organization]; GO:1904706 [Name: negative regulation of vascular smooth muscle cell proliferation]	GO:0005856 [Name: cytoskeleton]; GO:0005925 [Name: focal adhesion]	GO:0005515 [Name: protein binding]; GO:0005516 [Name: calmodulin binding]; GO:0003779 [Name: actin binding]	-
NP_999046.1	CRYL1	GO:0055114 [Name: oxidation-reduction process]; GO:0019640 [Name: glucuronate catabolic process to xylulose 5-phosphate]; GO:0006631 [Name: fatty acid metabolic process]	GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]	GO:0003857 [Name: 3-hydroxyacyl-CoA dehydrogenase activity]; GO:0042803 [Name: protein homodimerization activity]; GO:0050104 [Name: L-gulonate 3-dehydrogenase activity]; GO:0070403 [Name: NAD+ binding]	hsa00040 [Pathway Title: Pentose and glucuronate interconversions]; hsa01100 [Pathway Title: Metabolic pathways]
NP_999052.1	APCS	"GO:0044869 [Name: negative regulation by host of viral exo-alpha-sialidase activity]; GO:0044267 [Name: cellular protein metabolic process]; GO:0044871 [Name: negative regulation by host of viral glycoprotein metabolic process]; GO:0061045 [Name: negative regulation of wound healing]; GO:0006457 [Name: protein folding]; GO:0046597 [Name: negative regulation of viral entry into host cell]; GO:0006953 [Name: acute-phase response]; GO:0045087 [Name: innate immune response]; GO:0051131 [Name: chaperone-mediated protein complex assembly]; GO:0006958 [Name: complement activation, classical pathway]; GO:1903019 [Name: negative regulation of glycoprotein metabolic process]; GO:0002674 [Name: negative regulation of acute inflammatory response]; GO:0045656 [Name: negative regulation of monocyte differentiation]; GO:0048525 [Name: negative regulation of viral process]; GO:1903016 [Name: negative regulation of exo-alpha-sialidase activity]"	GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]; GO:0005634 [Name: nucleus]; GO:0070062 [Name: extracellular exosome]; GO:0072562 [Name: blood microparticle]	GO:0030246 [Name: carbohydrate binding]; GO:0005509 [Name: calcium ion binding]; GO:0001849 [Name: complement component C1q binding]; GO:0030169 [Name: low-density lipoprotein particle binding]; GO:0051082 [Name: unfolded protein binding]; GO:0042802 [Name: identical protein binding]; GO:0046790 [Name: virion binding]	-
NP_999056.1	VCAM1	GO:0030198 [Name: extracellular matrix organization]; GO:0042102 [Name: positive regulation of T cell proliferation]; GO:0045471 [Name: response to ethanol]; GO:0007155 [Name: cell adhesion]; GO:0055114 [Name: oxidation-reduction process]; GO:0010212 [Name: response to ionizing radiation]; GO:0030183 [Name: B cell differentiation]; GO:0001666 [Name: response to hypoxia]; GO:0002526 [Name: acute inflammatory response]; GO:0007584 [Name: response to nutrient]; GO:0010043 [Name: response to zinc ion]; GO:0034113 [Name: heterotypic cell-cell adhesion]; GO:0060326 [Name: cell chemotaxis]; GO:0060384 [Name: innervation]; GO:0071356 [Name: cellular response to tumor necrosis factor]; GO:0007568 [Name: aging]; GO:0050776 [Name: regulation of immune response]; GO:0060333 [Name: interferon-gamma-mediated signaling pathway]; GO:0007159 [Name: leukocyte cell-cell adhesion]; GO:0022614 [Name: membrane to membrane docking]; GO:0035094 [Name: response to nicotine]; GO:1904646 [Name: cellular response to beta-amyloid]; GO:0002544 [Name: chronic inflammatory response]; GO:0007160 [Name: cell-matrix adhesion]; GO:0032496 [Name: response to lipopolysaccharide]; GO:0050901 [Name: leukocyte tethering or rolling]; GO:0060945 [Name: cardiac neuron differentiation]; GO:0007157 [Name: heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules]; GO:0009308 [Name: amine metabolic process]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0035584 [Name: calcium-mediated signaling using intracellular calcium source]; GO:0035924 [Name: cellular response to vascular endothelial growth factor stimulus]	GO:0005615 [Name: extracellular space]; GO:0005769 [Name: early endosome]; GO:0005902 [Name: microvillus]; GO:0009897 [Name: external side of plasma membrane]; GO:0030175 [Name: filopodium]; GO:0005794 [Name: Golgi apparatus]; GO:0009986 [Name: cell surface]; GO:0071065 [Name: alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex]; GO:0005886 [Name: plasma membrane]; GO:0045177 [Name: apical part of cell]; GO:0002102 [Name: podosome]; GO:0005783 [Name: endoplasmic reticulum]; GO:0042383 [Name: sarcolemma]; GO:0070062 [Name: extracellular exosome]; GO:0005887 [Name: integral component of plasma membrane]	GO:0050839 [Name: cell adhesion molecule binding]; GO:0008131 [Name: primary amine oxidase activity]; GO:0005178 [Name: integrin binding]	hsa04514 [Pathway Title: Cell adhesion molecules (CAMs)]; hsa05166 [Pathway Title: HTLV-I infection]; hsa05143 [Pathway Title: African trypanosomiasis]; hsa04670 [Pathway Title: Leukocyte transendothelial migration]; hsa05144 [Pathway Title: Malaria]; hsa04064 [Pathway Title: NF-kappa B signaling pathway]; hsa04668 [Pathway Title: TNF signaling pathway]
NP_999061.1;XP_020924186.1	ACY1	GO:0006508 [Name: proteolysis]; GO:0006805 [Name: xenobiotic metabolic process]; GO:0006520 [Name: cellular amino acid metabolic process]	GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]	GO:0004046 [Name: aminoacylase activity]; GO:0005515 [Name: protein binding]; GO:0008237 [Name: metallopeptidase activity]; GO:0046872 [Name: metal ion binding]; GO:0042802 [Name: identical protein binding]	hsa01210 [Pathway Title: 2-Oxocarboxylic acid metabolism]; hsa01230 [Pathway Title: Biosynthesis of amino acids]; hsa00220 [Pathway Title: Arginine biosynthesis]; hsa01100 [Pathway Title: Metabolic pathways]; hsa01130 [Pathway Title: Biosynthesis of antibiotics]
NP_999062.1	ACADL	"GO:0006635 [Name: fatty acid beta-oxidation]; GO:0042413 [Name: carnitine catabolic process]; GO:0046322 [Name: negative regulation of fatty acid oxidation]; GO:0033539 [Name: fatty acid beta-oxidation using acyl-CoA dehydrogenase]; GO:0044242 [Name: cellular lipid catabolic process]; GO:0001659 [Name: temperature homeostasis]; GO:0045717 [Name: negative regulation of fatty acid biosynthetic process]; GO:0019254 [Name: carnitine metabolic process, CoA-linked]; GO:0055114 [Name: oxidation-reduction process]; GO:0042758 [Name: long-chain fatty acid catabolic process]; GO:0051289 [Name: protein homotetramerization]; GO:0090181 [Name: regulation of cholesterol metabolic process]"	GO:0005739 [Name: mitochondrion]; GO:0031966 [Name: mitochondrial membrane]; GO:0005759 [Name: mitochondrial matrix]	GO:0000062 [Name: fatty-acyl-CoA binding]; GO:0004466 [Name: long-chain-acyl-CoA dehydrogenase activity]; GO:0016401 [Name: palmitoyl-CoA oxidase activity]; GO:0050660 [Name: flavin adenine dinucleotide binding]; GO:0003995 [Name: acyl-CoA dehydrogenase activity]	hsa01100 [Pathway Title: Metabolic pathways]; hsa00071 [Pathway Title: Fatty acid degradation]; hsa01212 [Pathway Title: Fatty acid metabolism]; hsa03320 [Pathway Title: PPAR signaling pathway]
NP_999063.1;XP_005670765.1	ACADS	GO:0033539 [Name: fatty acid beta-oxidation using acyl-CoA dehydrogenase]; GO:0006635 [Name: fatty acid beta-oxidation]; GO:0046359 [Name: butyrate catabolic process]	GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0005759 [Name: mitochondrial matrix]; GO:0005739 [Name: mitochondrion]	GO:0050660 [Name: flavin adenine dinucleotide binding]; GO:0004085 [Name: butyryl-CoA dehydrogenase activity]; GO:0003995 [Name: acyl-CoA dehydrogenase activity]	"hsa00071 [Pathway Title: Fatty acid degradation]; hsa01200 [Pathway Title: Carbon metabolism]; hsa00650 [Pathway Title: Butanoate metabolism]; hsa00280 [Pathway Title: Valine, leucine and isoleucine degradation]; hsa01212 [Pathway Title: Fatty acid metabolism]; hsa01100 [Pathway Title: Metabolic pathways]"
NP_999065.1	RENBP	GO:0019262 [Name: N-acetylneuraminate catabolic process]; GO:0006044 [Name: N-acetylglucosamine metabolic process]; GO:0008217 [Name: regulation of blood pressure]; GO:0010951 [Name: negative regulation of endopeptidase activity]; GO:0006048 [Name: UDP-N-acetylglucosamine biosynthetic process]; GO:0006051 [Name: N-acetylmannosamine metabolic process]	GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]	GO:0042803 [Name: protein homodimerization activity]; GO:0050121 [Name: N-acylglucosamine 2-epimerase activity]; GO:0005524 [Name: ATP binding]; GO:0030414 [Name: peptidase inhibitor activity]; GO:0004866 [Name: endopeptidase inhibitor activity]	hsa00520 [Pathway Title: Amino sugar and nucleotide sugar metabolism]
NP_999066.1	PCCB	GO:0006768 [Name: biotin metabolic process]	GO:0005759 [Name: mitochondrial matrix]; GO:0005739 [Name: mitochondrion]; GO:0005829 [Name: cytosol]	GO:0005515 [Name: protein binding]; GO:0004658 [Name: propionyl-CoA carboxylase activity]; GO:0005524 [Name: ATP binding]	"hsa01100 [Pathway Title: Metabolic pathways]; hsa00280 [Pathway Title: Valine, leucine and isoleucine degradation]; hsa01200 [Pathway Title: Carbon metabolism]; hsa00630 [Pathway Title: Glyoxylate and dicarboxylate metabolism]; hsa00640 [Pathway Title: Propanoate metabolism]; hsa01130 [Pathway Title: Biosynthesis of antibiotics]"
NP_999068.1	ITIH2	GO:0030212 [Name: hyaluronan metabolic process]; GO:0010951 [Name: negative regulation of endopeptidase activity]; GO:0044267 [Name: cellular protein metabolic process]; GO:0043687 [Name: post-translational protein modification]	GO:0005788 [Name: endoplasmic reticulum lumen]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]; GO:0072562 [Name: blood microparticle]	GO:0004867 [Name: serine-type endopeptidase inhibitor activity]; GO:0004866 [Name: endopeptidase inhibitor activity]	-
NP_999069.1;XP_020936328.1;XP_020936333.1	GANAB	GO:0005975 [Name: carbohydrate metabolic process]; GO:0006491 [Name: N-glycan processing]	GO:0005794 [Name: Golgi apparatus]; GO:0042470 [Name: melanosome]; GO:0005788 [Name: endoplasmic reticulum lumen]; GO:0070062 [Name: extracellular exosome]; GO:0017177 [Name: glucosidase II complex]; GO:0016020 [Name: membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]	"GO:0033919 [Name: glucan 1,3-alpha-glucosidase activity]; GO:0005515 [Name: protein binding]; GO:0003723 [Name: RNA binding]; GO:0030246 [Name: carbohydrate binding]"	hsa04141 [Pathway Title: Protein processing in endoplasmic reticulum]; hsa00510 [Pathway Title: N-Glycan biosynthesis]; hsa01100 [Pathway Title: Metabolic pathways]
NP_999073.1	ITGB2	"GO:0001774 [Name: microglial cell activation]; GO:0031623 [Name: receptor internalization]; GO:0043113 [Name: receptor clustering]; GO:0043312 [Name: neutrophil degranulation]; GO:0071404 [Name: cellular response to low-density lipoprotein particle stimulus]; GO:0002523 [Name: leukocyte migration involved in inflammatory response]; GO:0006915 [Name: apoptotic process]; GO:0007159 [Name: leukocyte cell-cell adhesion]; GO:0034113 [Name: heterotypic cell-cell adhesion]; GO:0034142 [Name: toll-like receptor 4 signaling pathway]; GO:0045963 [Name: negative regulation of dopamine metabolic process]; GO:0090314 [Name: positive regulation of protein targeting to membrane]; GO:0006954 [Name: inflammatory response]; GO:0007160 [Name: cell-matrix adhesion]; GO:0030198 [Name: extracellular matrix organization]; GO:0043542 [Name: endothelial cell migration]; GO:0007267 [Name: cell-cell signaling]; GO:0006911 [Name: phagocytosis, engulfment]; GO:0007229 [Name: integrin-mediated signaling pathway]; GO:0007568 [Name: aging]; GO:0050900 [Name: leukocyte migration]; GO:1903980 [Name: positive regulation of microglial cell activation]; GO:2000363 [Name: positive regulation of prostaglandin-E synthase activity]; GO:0007155 [Name: cell adhesion]; GO:0016477 [Name: cell migration]; GO:0030593 [Name: neutrophil chemotaxis]; GO:0035987 [Name: endodermal cell differentiation]; GO:0050776 [Name: regulation of immune response]; GO:1990266 [Name: neutrophil migration]; GO:0098609 [Name: cell-cell adhesion]; GO:1901216 [Name: positive regulation of neuron death]; GO:0006898 [Name: receptor-mediated endocytosis]; GO:0008360 [Name: regulation of cell shape]; GO:0030101 [Name: natural killer cell activation]; GO:0032930 [Name: positive regulation of superoxide anion generation]; GO:0043315 [Name: positive regulation of neutrophil degranulation]; GO:0045429 [Name: positive regulation of nitric oxide biosynthetic process]; GO:0045766 [Name: positive regulation of angiogenesis]; GO:0097242 [Name: beta-amyloid clearance]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0033627 [Name: cell adhesion mediated by integrin]; GO:0045123 [Name: cellular extravasation]; GO:0050730 [Name: regulation of peptidyl-tyrosine phosphorylation]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0098742 [Name: cell-cell adhesion via plasma-membrane adhesion molecules]"	GO:0043235 [Name: receptor complex]; GO:0008305 [Name: integrin complex]; GO:0009986 [Name: cell surface]; GO:0035579 [Name: specific granule membrane]; GO:0044853 [Name: plasma membrane raft]; GO:0099568 [Name: cytoplasmic region]; GO:0009897 [Name: external side of plasma membrane]; GO:0034687 [Name: integrin alphaL-beta2 complex]; GO:1903561 [Name: extracellular vesicle]; GO:0034688 [Name: integrin alphaM-beta2 complex]; GO:0101003 [Name: ficolin-1-rich granule membrane]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005925 [Name: focal adhesion]; GO:0070821 [Name: tertiary granule membrane]; GO:0070062 [Name: extracellular exosome]	GO:0050839 [Name: cell adhesion molecule binding]; GO:0001851 [Name: complement component C3b binding]; GO:0005515 [Name: protein binding]; GO:0019901 [Name: protein kinase binding]; GO:0046982 [Name: protein heterodimerization activity]; GO:0001540 [Name: beta-amyloid binding]; GO:0005178 [Name: integrin binding]; GO:0031072 [Name: heat shock protein binding]; GO:0046872 [Name: metal ion binding]; GO:0030369 [Name: ICAM-3 receptor activity]; GO:0038024 [Name: cargo receptor activity]	hsa04670 [Pathway Title: Leukocyte transendothelial migration]; hsa05323 [Pathway Title: Rheumatoid arthritis]; hsa04514 [Pathway Title: Cell adhesion molecules (CAMs)]; hsa05166 [Pathway Title: HTLV-I infection]; hsa04810 [Pathway Title: Regulation of actin cytoskeleton]; hsa05152 [Pathway Title: Tuberculosis]; hsa05134 [Pathway Title: Legionellosis]; hsa04145 [Pathway Title: Phagosome]; hsa04390 [Pathway Title: Hippo signaling pathway]; hsa05133 [Pathway Title: Pertussis]; hsa05416 [Pathway Title: Viral myocarditis]; hsa04650 [Pathway Title: Natural killer cell mediated cytotoxicity]; hsa05140 [Pathway Title: Leishmaniasis]; hsa05146 [Pathway Title: Amoebiasis]; hsa04015 [Pathway Title: Rap1 signaling pathway]; hsa05144 [Pathway Title: Malaria]; hsa05150 [Pathway Title: Staphylococcus aureus infection]
NP_999074.1;XP_020957861.1;XP_020957860.1;XP_020957859.1	GLUL	"GO:0019676 [Name: ammonia assimilation cycle]; GO:0051260 [Name: protein homooligomerization]; GO:0001504 [Name: neurotransmitter uptake]; GO:0001525 [Name: angiogenesis]; GO:0009267 [Name: cellular response to starvation]; GO:0018345 [Name: protein palmitoylation]; GO:0050679 [Name: positive regulation of epithelial cell proliferation]; GO:0006542 [Name: glutamine biosynthetic process]; GO:0009749 [Name: response to glucose]; GO:0010594 [Name: regulation of endothelial cell migration]; GO:1903670 [Name: regulation of sprouting angiogenesis]; GO:0006538 [Name: glutamate catabolic process]; GO:0008283 [Name: cell proliferation]; GO:0008652 [Name: cellular amino acid biosynthetic process]; GO:0032024 [Name: positive regulation of insulin secretion]; GO:0051968 [Name: positive regulation of synaptic transmission, glutamatergic]"	GO:0043679 [Name: axon terminus]; GO:0070062 [Name: extracellular exosome]; GO:0005739 [Name: mitochondrion]; GO:0005829 [Name: cytosol]; GO:0005886 [Name: plasma membrane]; GO:0005791 [Name: rough endoplasmic reticulum]; GO:0043209 [Name: myelin sheath]; GO:0032991 [Name: macromolecular complex]; GO:0043204 [Name: perikaryon]; GO:0005634 [Name: nucleus]; GO:0097386 [Name: glial cell projection]	GO:0042802 [Name: identical protein binding]; GO:0045503 [Name: dynein light chain binding]; GO:0030145 [Name: manganese ion binding]; GO:0005524 [Name: ATP binding]; GO:0005515 [Name: protein binding]; GO:0000287 [Name: magnesium ion binding]; GO:0004356 [Name: glutamate-ammonia ligase activity]; GO:0019706 [Name: protein-cysteine S-palmitoyltransferase activity]; GO:0016595 [Name: glutamate binding]	"hsa00220 [Pathway Title: Arginine biosynthesis]; hsa01100 [Pathway Title: Metabolic pathways]; hsa04727 [Pathway Title: GABAergic synapse]; hsa00630 [Pathway Title: Glyoxylate and dicarboxylate metabolism]; hsa00910 [Pathway Title: Nitrogen metabolism]; hsa04724 [Pathway Title: Glutamatergic synapse]; hsa01230 [Pathway Title: Biosynthesis of amino acids]; hsa00250 [Pathway Title: Alanine, aspartate and glutamate metabolism]"
NP_999076.1	PGRMC1	GO:0043312 [Name: neutrophil degranulation]	GO:0016020 [Name: membrane]; GO:0035579 [Name: specific granule membrane]; GO:0044297 [Name: cell body]; GO:0005886 [Name: plasma membrane]; GO:0043005 [Name: neuron projection]; GO:0005783 [Name: endoplasmic reticulum]; GO:0043025 [Name: neuronal cell body]; GO:0005887 [Name: integral component of plasma membrane]; GO:0030868 [Name: smooth endoplasmic reticulum membrane]; GO:0045202 [Name: synapse]	GO:0005515 [Name: protein binding]; GO:0001540 [Name: beta-amyloid binding]; GO:0005496 [Name: steroid binding]	-
